Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total
Total;18 Ceuta;Total decil;2021;2.281,58
Total;18 Ceuta;1;2022;750,46
Total;18 Ceuta;1;2021;759,82
Total;18 Ceuta;2;2022;1.158,30
Total;18 Ceuta;2;2021;1.002,70
Total;18 Ceuta;3;2022;1.366,54
Total;18 Ceuta;3;2021;1.285,97
Total;18 Ceuta;4;2022;1.525,51
Total;18 Ceuta;4;2021;1.436,10
Total;18 Ceuta;5;2022;1.722,56
Total;18 Ceuta;5;2021;1.618,17
Total;18 Ceuta;6;2022;1.925,85
Total;18 Ceuta;6;2021;1.854,64
Total;18 Ceuta;7;2022;2.244,16
Total;18 Ceuta;7;2021;2.152,00
Total;18 Ceuta;8;2022;2.639,02
Total;18 Ceuta;8;2021;2.606,51
Total;18 Ceuta;9;2022;3.225,10
Total;18 Ceuta;9;2021;3.092,98
Total;18 Ceuta;10;2022;4.283,85
Total;18 Ceuta;10;2021;6.237,26
Total;19 Melilla;Total decil;2022;2.293,65
Total;19 Melilla;Total decil;2021;2.103,40
Total;19 Melilla;1;2022;398,31
Total;19 Melilla;1;2021;785,29
Total;19 Melilla;2;2022;1.147,31
Total;19 Melilla;2;2021;1.023,66
Total;19 Melilla;3;2022;1.349,04
Total;19 Melilla;3;2021;1.233,07
Total;19 Melilla;4;2022;1.524,51
Total;19 Melilla;4;2021;1.439,10
Total;19 Melilla;5;2022;1.719,62
Total;19 Melilla;5;2021;1.652,63
Total;19 Melilla;6;2022;1.915,03
Total;19 Melilla;6;2021;1.855,79
Total;19 Melilla;7;2022;2.157,68
Total;19 Melilla;7;2021;2.209,50
Total;19 Melilla;8;2022;2.622,89
Total;19 Melilla;8;2021;2.647,28
Total;19 Melilla;9;2022;3.245,68
Total;19 Melilla;9;2021;3.205,21
Total;19 Melilla;10;2022;4.360,43
Total;19 Melilla;10;2021;4.336,23
Jornada a tiempo completo;Total Nacional;Total decil;2022;2.341,35
Jornada a tiempo completo;Total Nacional;Total decil;2021;2.313,13
Jornada a tiempo completo;Total Nacional;1;2022;874,60
Jornada a tiempo completo;Total Nacional;1;2021;784,59
Jornada a tiempo completo;Total Nacional;2;2022;1.159,40
Jornada a tiempo completo;Total Nacional;2;2021;1.064,97
Jornada a tiempo completo;Total Nacional;3;2022;1.346,55
Jornada a tiempo completo;Total Nacional;3;2021;1.267,75
Jornada a tiempo completo;Total Nacional;4;2022;1.530,13
Jornada a tiempo completo;Total Nacional;4;2021;1.462,55
Jornada a tiempo completo;Total Nacional;5;2022;1.717,00
Jornada a tiempo completo;Total Nacional;5;2021;1.657,51
Jornada a tiempo completo;Total Nacional;6;2022;1.924,15
Jornada a tiempo completo;Total Nacional;6;2021;1.874,27
Jornada a tiempo completo;Total Nacional;7;2022;2.196,18
Jornada a tiempo completo;Total Nacional;7;2021;2.164,25
Jornada a tiempo completo;Total Nacional;8;2022;2.603,14
Jornada a tiempo completo;Total Nacional;8;2021;2.576,59
Jornada a tiempo completo;Total Nacional;9;2022;3.188,75
Jornada a tiempo completo;Total Nacional;9;2021;3.161,69
Jornada a tiempo completo;Total Nacional;10;2022;5.020,53
Jornada a tiempo completo;Total Nacional;10;2021;5.092,67
Jornada a tiempo completo;01 Andalucía;Total decil;2022;2.115,18
Jornada a tiempo completo;01 Andalucía;Total decil;2021;2.070,82
Jornada a tiempo completo;01 Andalucía;1;2022;867,23
Jornada a tiempo completo;01 Andalucía;1;2021;768,90
Jornada a tiempo completo;01 Andalucía;2;2022;1.150,69
Jornada a tiempo completo;01 Andalucía;2;2021;1.062,52
Jornada a tiempo completo;01 Andalucía;3;2022;1.346,49
Jornada a tiempo completo;01 Andalucía;3;2021;1.271,53
Jornada a tiempo completo;01 Andalucía;4;2022;1.528,26
Jornada a tiempo completo;01 Andalucía;4;2021;1.456,37
Jornada a tiempo completo;01 Andalucía;5;2022;1.716,08
Jornada a tiempo completo;01 Andalucía;5;2021;1.661,89
Jornada a tiempo completo;01 Andalucía;6;2022;1.917,71
Jornada a tiempo completo;01 Andalucía;6;2021;1.867,04
Jornada a tiempo completo;01 Andalucía;7;2022;2.190,16
Jornada a tiempo completo;01 Andalucía;7;2021;2.163,17
Jornada a tiempo completo;01 Andalucía;8;2022;2.610,42
Jornada a tiempo completo;01 Andalucía;8;2021;2.584,04
Jornada a tiempo completo;01 Andalucía;9;2022;3.165,63
Jornada a tiempo completo;01 Andalucía;9;2021;3.131,88
Jornada a tiempo completo;01 Andalucía;10;2022;4.834,91
Jornada a tiempo completo;01 Andalucía;10;2021;4.924,70
Jornada a tiempo completo;02 Aragón;Total decil;2022;2.264,44
Jornada a tiempo completo;02 Aragón;Total decil;2021;2.221,33
Jornada a tiempo completo;02 Aragón;1;2022;871,63
Jornada a tiempo completo;02 Aragón;1;2021;802,58
Jornada a tiempo completo;02 Aragón;2;2022;1.163,13
Jornada a tiempo completo;02 Aragón;2;2021;1.038,73
Jornada a tiempo completo;02 Aragón;3;2022;1.351,76
Jornada a tiempo completo;02 Aragón;3;2021;1.268,76
Jornada a tiempo completo;02 Aragón;4;2022;1.528,35
Jornada a tiempo completo;02 Aragón;4;2021;1.466,30
Jornada a tiempo completo;02 Aragón;5;2022;1.718,22
Jornada a tiempo completo;02 Aragón;5;2021;1.649,63
Jornada a tiempo completo;02 Aragón;6;2022;1.919,60
Jornada a tiempo completo;02 Aragón;6;2021;1.867,12
Jornada a tiempo completo;02 Aragón;7;2022;2.202,73
Jornada a tiempo completo;02 Aragón;7;2021;2.159,33
Jornada a tiempo completo;02 Aragón;8;2022;2.604,76
Jornada a tiempo completo;02 Aragón;8;2021;2.559,91
Jornada a tiempo completo;02 Aragón;9;2022;3.170,60
Jornada a tiempo completo;02 Aragón;9;2021;3.171,39
Jornada a tiempo completo;02 Aragón;10;2022;4.933,23
Jornada a tiempo completo;02 Aragón;10;2021;5.139,82
Jornada a tiempo completo;03 Asturias, Principado de;Total decil;2022;2.320,13
Jornada a tiempo completo;03 Asturias, Principado de;Total decil;2021;2.328,49
Jornada a tiempo completo;03 Asturias, Principado de;1;2022;869,41
