Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;16 País Vasco;01 Araba/Álava;3 personas;2022;24.979
Total Nacional;16 País Vasco;01 Araba/Álava;3 personas;2021;25.184
Total Nacional;16 País Vasco;01 Araba/Álava;3 personas;2020;25.393
Total Nacional;16 País Vasco;01 Araba/Álava;4 personas;2023;20.736
Total Nacional;16 País Vasco;01 Araba/Álava;4 personas;2022;20.808
Total Nacional;16 País Vasco;01 Araba/Álava;4 personas;2021;20.867
Total Nacional;16 País Vasco;01 Araba/Álava;4 personas;2020;20.918
Total Nacional;16 País Vasco;01 Araba/Álava;5 personas o más;2023;5.722
Total Nacional;16 País Vasco;01 Araba/Álava;5 personas o más;2022;5.624
Total Nacional;16 País Vasco;01 Araba/Álava;5 personas o más;2021;5.518
Total Nacional;16 País Vasco;01 Araba/Álava;5 personas o más;2020;5.404
Total Nacional;16 País Vasco;01 Araba/Álava;Tamaño medio;2023;2,31
Total Nacional;16 País Vasco;01 Araba/Álava;Tamaño medio;2022;2,31
Total Nacional;16 País Vasco;01 Araba/Álava;Tamaño medio;2021;2,31
Total Nacional;16 País Vasco;01 Araba/Álava;Tamaño medio;2020;2,31
Total Nacional;16 País Vasco;48 Bizkaia;Total;2023;484.357
Total Nacional;16 País Vasco;48 Bizkaia;Total;2022;483.316
Total Nacional;16 País Vasco;48 Bizkaia;Total;2021;482.271
Total Nacional;16 País Vasco;48 Bizkaia;Total;2020;481.410
Total Nacional;16 País Vasco;48 Bizkaia;1 persona;2023;143.578
Total Nacional;16 País Vasco;48 Bizkaia;1 persona;2022;141.244
Total Nacional;16 País Vasco;48 Bizkaia;1 persona;2021;138.849
Total Nacional;16 País Vasco;48 Bizkaia;1 persona;2020;136.462
Total Nacional;16 País Vasco;48 Bizkaia;2 personas;2023;159.510
Total Nacional;16 País Vasco;48 Bizkaia;2 personas;2022;158.488
Total Nacional;16 País Vasco;48 Bizkaia;2 personas;2021;157.540
Total Nacional;16 País Vasco;48 Bizkaia;2 personas;2020;156.703
Total Nacional;16 País Vasco;48 Bizkaia;3 personas;2023;93.453
Total Nacional;16 País Vasco;48 Bizkaia;3 personas;2022;94.925
Total Nacional;16 País Vasco;48 Bizkaia;3 personas;2021;96.415
Total Nacional;16 País Vasco;48 Bizkaia;3 personas;2020;97.974
Total Nacional;16 País Vasco;48 Bizkaia;4 personas;2023;69.275
Total Nacional;16 País Vasco;48 Bizkaia;4 personas;2022;70.194
Total Nacional;16 País Vasco;48 Bizkaia;4 personas;2021;71.089
Total Nacional;16 País Vasco;48 Bizkaia;4 personas;2020;71.994
Total Nacional;16 País Vasco;48 Bizkaia;5 personas o más;2023;18.541
Total Nacional;16 País Vasco;48 Bizkaia;5 personas o más;2022;18.465
Total Nacional;16 País Vasco;48 Bizkaia;5 personas o más;2021;18.378
Total Nacional;16 País Vasco;48 Bizkaia;5 personas o más;2020;18.277
Total Nacional;16 País Vasco;48 Bizkaia;Tamaño medio;2023;2,31
Total Nacional;16 País Vasco;48 Bizkaia;Tamaño medio;2022;2,33
Total Nacional;16 País Vasco;48 Bizkaia;Tamaño medio;2021;2,34
Total Nacional;16 País Vasco;48 Bizkaia;Tamaño medio;2020;2,35
Total Nacional;16 País Vasco;20 Gipuzkoa;Total;2023;286.004
Total Nacional;16 País Vasco;20 Gipuzkoa;Total;2022;286.312
Total Nacional;16 País Vasco;20 Gipuzkoa;Total;2021;286.616
Total Nacional;16 País Vasco;20 Gipuzkoa;Total;2020;286.940
Total Nacional;16 País Vasco;20 Gipuzkoa;1 persona;2023;75.427
Total Nacional;16 País Vasco;20 Gipuzkoa;1 persona;2022;75.217
Total Nacional;16 País Vasco;20 Gipuzkoa;1 persona;2021;75.019
Total Nacional;16 País Vasco;20 Gipuzkoa;1 persona;2020;74.806
Total Nacional;16 País Vasco;20 Gipuzkoa;2 personas;2023;90.556
Total Nacional;16 País Vasco;20 Gipuzkoa;2 personas;2022;90.324
Total Nacional;16 País Vasco;20 Gipuzkoa;2 personas;2021;90.077
Total Nacional;16 País Vasco;20 Gipuzkoa;2 personas;2020;89.891
Total Nacional;16 País Vasco;20 Gipuzkoa;3 personas;2023;53.546
Total Nacional;16 País Vasco;20 Gipuzkoa;3 personas;2022;54.218
Total Nacional;16 País Vasco;20 Gipuzkoa;3 personas;2021;54.900
Total Nacional;16 País Vasco;20 Gipuzkoa;3 personas;2020;55.603
Total Nacional;16 País Vasco;20 Gipuzkoa;4 personas;2023;51.383
Total Nacional;16 País Vasco;20 Gipuzkoa;4 personas;2022;51.640
Total Nacional;16 País Vasco;20 Gipuzkoa;4 personas;2021;51.899
Total Nacional;16 País Vasco;20 Gipuzkoa;4 personas;2020;52.135
Total Nacional;16 País Vasco;20 Gipuzkoa;5 personas o más;2023;15.092
Total Nacional;16 País Vasco;20 Gipuzkoa;5 personas o más;2022;14.913
Total Nacional;16 País Vasco;20 Gipuzkoa;5 personas o más;2021;14.721
Total Nacional;16 País Vasco;20 Gipuzkoa;5 personas o más;2020;14.505
Total Nacional;16 País Vasco;20 Gipuzkoa;Tamaño medio;2023;2,46
Total Nacional;16 País Vasco;20 Gipuzkoa;Tamaño medio;2022;2,47
Total Nacional;16 País Vasco;20 Gipuzkoa;Tamaño medio;2021;2,47
Total Nacional;16 País Vasco;20 Gipuzkoa;Tamaño medio;2020;2,47
Total Nacional;17 Rioja, La;;Total;2023;130.512
Total Nacional;17 Rioja, La;;Total;2022;130.313
Total Nacional;17 Rioja, La;;Total;2021;130.114
Total Nacional;17 Rioja, La;;Total;2020;130.088
Total Nacional;17 Rioja, La;;1 persona;2023;37.744
Total Nacional;17 Rioja, La;;1 persona;2022;37.488
Total Nacional;17 Rioja, La;;1 persona;2021;37.239
Total Nacional;17 Rioja, La;;1 persona;2020;37.056
Total Nacional;17 Rioja, La;;2 personas;2023;41.178
Total Nacional;17 Rioja, La;;2 personas;2022;40.970
Total Nacional;17 Rioja, La;;2 personas;2021;40.761
Total Nacional;17 Rioja, La;;2 personas;2020;40.637
Total Nacional;17 Rioja, La;;3 personas;2023;25.687
Total Nacional;17 Rioja, La;;3 personas;2022;25.785
Total Nacional;17 Rioja, La;;3 personas;2021;25.883
Total Nacional;17 Rioja, La;;3 personas;2020;26.000
Total Nacional;17 Rioja, La;;4 personas;2023;19.596
Total Nacional;17 Rioja, La;;4 personas;2022;19.797
Total Nacional;17 Rioja, La;;4 personas;2021;19.995
Total Nacional;17 Rioja, La;;4 personas;2020;20.197
Total Nacional;17 Rioja, La;;5 personas o más;2023;6.307
Total Nacional;17 Rioja, La;;5 personas o más;2022;6.273
Total Nacional;17 Rioja, La;;5 personas o más;2021;6.236
Total Nacional;17 Rioja, La;;5 personas o más;2020;6.198
Total Nacional;17 Rioja, La;;Tamaño medio;2023;2,38
Total Nacional;17 Rioja, La;;Tamaño medio;2022;2,39
Total Nacional;17 Rioja, La;;Tamaño medio;2021;2,39
Total Nacional;17 Rioja, La;;Tamaño medio;2020;2,40
Total Nacional;18 Ceuta;;Total;2023;27.909
Total Nacional;18 Ceuta;;Total;2022;27.724
Total Nacional;18 Ceuta;;Total;2021;27.539
Total Nacional;18 Ceuta;;Total;2020;27.349
Total Nacional;18 Ceuta;;1 persona;2023;6.253
Total Nacional;18 Ceuta;;1 persona;2022;6.079
Total Nacional;18 Ceuta;;1 persona;2021;5.902
Total Nacional;18 Ceuta;;1 persona;2020;5.709
Total Nacional;18 Ceuta;;2 personas;2023;6.395
Total Nacional;18 Ceuta;;2 personas;2022;6.272
Total Nacional;18 Ceuta;;2 personas;2021;6.151
Total Nacional;18 Ceuta;;2 personas;2020;6.023
Total Nacional;18 Ceuta;;3 personas;2023;5.590
Total Nacional;18 Ceuta;;3 personas;2022;5.587
Total Nacional;18 Ceuta;;3 personas;2021;5.585
Total Nacional;18 Ceuta;;3 personas;2020;5.585
Total Nacional;18 Ceuta;;4 personas;2023;5.315
Total Nacional;18 Ceuta;;4 personas;2022;5.318
Total Nacional;18 Ceuta;;4 personas;2021;5.318
Total Nacional;18 Ceuta;;4 personas;2020;5.325
Total Nacional;18 Ceuta;;5 personas o más;2023;4.356
Total Nacional;18 Ceuta;;5 personas o más;2022;4.468
Total Nacional;18 Ceuta;;5 personas o más;2021;4.583
Total Nacional;18 Ceuta;;5 personas o más;2020;4.707
Total Nacional;18 Ceuta;;Tamaño medio;2023;2,95
Total Nacional;18 Ceuta;;Tamaño medio;2022;2,98
Total Nacional;18 Ceuta;;Tamaño medio;2021;3,01
Total Nacional;18 Ceuta;;Tamaño medio;2020;3,05
Total Nacional;19 Melilla;;Total;2023;26.509
Total Nacional;19 Melilla;;Total;2022;26.476
Total Nacional;19 Melilla;;Total;2021;26.464
Total Nacional;19 Melilla;;Total;2020;26.455
Total Nacional;19 Melilla;;1 persona;2023;5.071
Total Nacional;19 Melilla;;1 persona;2022;5.024
Total Nacional;19 Melilla;;1 persona;2021;4.991
Total Nacional;19 Melilla;;1 persona;2020;4.941
Total Nacional;19 Melilla;;2 personas;2023;5.935
Total Nacional;19 Melilla;;2 personas;2022;5.926
Total Nacional;19 Melilla;;2 personas;2021;5.914
Total Nacional;19 Melilla;;2 personas;2020;5.908
Total Nacional;19 Melilla;;3 personas;2023;4.719
Total Nacional;19 Melilla;;3 personas;2022;4.678
Total Nacional;19 Melilla;;3 personas;2021;4.636
Total Nacional;19 Melilla;;3 personas;2020;4.597
Total Nacional;19 Melilla;;4 personas;2023;5.679
Total Nacional;19 Melilla;;4 personas;2022;5.713
Total Nacional;19 Melilla;;4 personas;2021;5.750
Total Nacional;19 Melilla;;4 personas;2020;5.794
Total Nacional;19 Melilla;;5 personas o más;2023;5.105
Total Nacional;19 Melilla;;5 personas o más;2022;5.135
Total Nacional;19 Melilla;;5 personas o más;2021;5.173
Total Nacional;19 Melilla;;5 personas o más;2020;5.215
Total Nacional;19 Melilla;;Tamaño medio;2023;3,13
Total Nacional;19 Melilla;;Tamaño medio;2022;3,14
Total Nacional;19 Melilla;;Tamaño medio;2021;3,15
Total Nacional;19 Melilla;;Tamaño medio;2020;3,16
