Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Año;Total
Total Nacional;01 Andalucía;29 Málaga;4 personas;2020;117.954
Total Nacional;01 Andalucía;29 Málaga;5 personas o más;2023;43.192
Total Nacional;01 Andalucía;29 Málaga;5 personas o más;2022;43.064
Total Nacional;01 Andalucía;29 Málaga;5 personas o más;2021;42.928
Total Nacional;01 Andalucía;29 Málaga;5 personas o más;2020;42.783
Total Nacional;01 Andalucía;29 Málaga;Tamaño medio;2023;2,56
Total Nacional;01 Andalucía;29 Málaga;Tamaño medio;2022;2,56
Total Nacional;01 Andalucía;29 Málaga;Tamaño medio;2021;2,57
Total Nacional;01 Andalucía;29 Málaga;Tamaño medio;2020;2,58
Total Nacional;01 Andalucía;41 Sevilla;Total;2023;746.085
Total Nacional;01 Andalucía;41 Sevilla;Total;2022;742.720
Total Nacional;01 Andalucía;41 Sevilla;Total;2021;739.408
Total Nacional;01 Andalucía;41 Sevilla;Total;2020;735.959
Total Nacional;01 Andalucía;41 Sevilla;1 persona;2023;175.544
Total Nacional;01 Andalucía;41 Sevilla;1 persona;2022;172.464
Total Nacional;01 Andalucía;41 Sevilla;1 persona;2021;169.549
Total Nacional;01 Andalucía;41 Sevilla;1 persona;2020;166.370
Total Nacional;01 Andalucía;41 Sevilla;2 personas;2023;211.954
Total Nacional;01 Andalucía;41 Sevilla;2 personas;2022;209.459
Total Nacional;01 Andalucía;41 Sevilla;2 personas;2021;206.993
Total Nacional;01 Andalucía;41 Sevilla;2 personas;2020;204.594
Total Nacional;01 Andalucía;41 Sevilla;3 personas;2023;158.296
Total Nacional;01 Andalucía;41 Sevilla;3 personas;2022;158.626
Total Nacional;01 Andalucía;41 Sevilla;3 personas;2021;158.914
Total Nacional;01 Andalucía;41 Sevilla;3 personas;2020;159.250
Total Nacional;01 Andalucía;41 Sevilla;4 personas;2023;152.747
Total Nacional;01 Andalucía;41 Sevilla;4 personas;2022;154.016
Total Nacional;01 Andalucía;41 Sevilla;4 personas;2021;155.199
Total Nacional;01 Andalucía;41 Sevilla;4 personas;2020;156.392
Total Nacional;01 Andalucía;41 Sevilla;5 personas o más;2023;47.544
Total Nacional;01 Andalucía;41 Sevilla;5 personas o más;2022;48.155
Total Nacional;01 Andalucía;41 Sevilla;5 personas o más;2021;48.753
Total Nacional;01 Andalucía;41 Sevilla;5 personas o más;2020;49.353
Total Nacional;01 Andalucía;41 Sevilla;Tamaño medio;2023;2,60
Total Nacional;01 Andalucía;41 Sevilla;Tamaño medio;2022;2,62
Total Nacional;01 Andalucía;41 Sevilla;Tamaño medio;2021;2,63
Total Nacional;01 Andalucía;41 Sevilla;Tamaño medio;2020;2,64
Total Nacional;02 Aragón;;Total;2023;543.714
Total Nacional;02 Aragón;;Total;2022;542.825
Total Nacional;02 Aragón;;Total;2021;542.015
Total Nacional;02 Aragón;;Total;2020;541.545
Total Nacional;02 Aragón;;1 persona;2023;153.854
Total Nacional;02 Aragón;;1 persona;2022;152.333
Total Nacional;02 Aragón;;1 persona;2021;150.862
Total Nacional;02 Aragón;;1 persona;2020;149.452
Total Nacional;02 Aragón;;2 personas;2023;172.773
Total Nacional;02 Aragón;;2 personas;2022;171.760
Total Nacional;02 Aragón;;2 personas;2021;170.788
Total Nacional;02 Aragón;;2 personas;2020;170.040
Total Nacional;02 Aragón;;3 personas;2023;107.057
Total Nacional;02 Aragón;;3 personas;2022;107.829
Total Nacional;02 Aragón;;3 personas;2021;108.595
Total Nacional;02 Aragón;;3 personas;2020;109.426
Total Nacional;02 Aragón;;4 personas;2023;84.644
Total Nacional;02 Aragón;;4 personas;2022;85.615
Total Nacional;02 Aragón;;4 personas;2021;86.582
Total Nacional;02 Aragón;;4 personas;2020;87.548
Total Nacional;02 Aragón;;5 personas o más;2023;25.386
Total Nacional;02 Aragón;;5 personas o más;2022;25.288
Total Nacional;02 Aragón;;5 personas o más;2021;25.188
Total Nacional;02 Aragón;;5 personas o más;2020;25.079
Total Nacional;02 Aragón;;Tamaño medio;2023;2,39
Total Nacional;02 Aragón;;Tamaño medio;2022;2,40
Total Nacional;02 Aragón;;Tamaño medio;2021;2,41
Total Nacional;02 Aragón;;Tamaño medio;2020;2,41
Total Nacional;02 Aragón;22 Huesca;Total;2023;88.817
Total Nacional;02 Aragón;22 Huesca;Total;2022;88.756
Total Nacional;02 Aragón;22 Huesca;Total;2021;88.712
Total Nacional;02 Aragón;22 Huesca;Total;2020;88.669
Total Nacional;02 Aragón;22 Huesca;1 persona;2023;24.735
Total Nacional;02 Aragón;22 Huesca;1 persona;2022;24.495
Total Nacional;02 Aragón;22 Huesca;1 persona;2021;24.267
Total Nacional;02 Aragón;22 Huesca;1 persona;2020;24.032
Total Nacional;02 Aragón;22 Huesca;2 personas;2023;28.148
Total Nacional;02 Aragón;22 Huesca;2 personas;2022;27.969
Total Nacional;02 Aragón;22 Huesca;2 personas;2021;27.793
Total Nacional;02 Aragón;22 Huesca;2 personas;2020;27.628
Total Nacional;02 Aragón;22 Huesca;3 personas;2023;17.982
Total Nacional;02 Aragón;22 Huesca;3 personas;2022;18.138
Total Nacional;02 Aragón;22 Huesca;3 personas;2021;18.292
Total Nacional;02 Aragón;22 Huesca;3 personas;2020;18.451
Total Nacional;02 Aragón;22 Huesca;4 personas;2023;12.968
Total Nacional;02 Aragón;22 Huesca;4 personas;2022;13.174
Total Nacional;02 Aragón;22 Huesca;4 personas;2021;13.384
Total Nacional;02 Aragón;22 Huesca;4 personas;2020;13.590
Total Nacional;02 Aragón;22 Huesca;5 personas o más;2023;4.984
Total Nacional;02 Aragón;22 Huesca;5 personas o más;2022;4.980
Total Nacional;02 Aragón;22 Huesca;5 personas o más;2021;4.976
Total Nacional;02 Aragón;22 Huesca;5 personas o más;2020;4.968
Total Nacional;02 Aragón;22 Huesca;Tamaño medio;2023;2,41
Total Nacional;02 Aragón;22 Huesca;Tamaño medio;2022;2,42
Total Nacional;02 Aragón;22 Huesca;Tamaño medio;2021;2,43
Total Nacional;02 Aragón;22 Huesca;Tamaño medio;2020;2,44
Total Nacional;02 Aragón;44 Teruel;Total;2023;53.922
Total Nacional;02 Aragón;44 Teruel;Total;2022;54.039
Total Nacional;02 Aragón;44 Teruel;Total;2021;54.149
Total Nacional;02 Aragón;44 Teruel;Total;2020;54.288
Total Nacional;02 Aragón;44 Teruel;1 persona;2023;15.422
Total Nacional;02 Aragón;44 Teruel;1 persona;2022;15.310
Total Nacional;02 Aragón;44 Teruel;1 persona;2021;15.183
Total Nacional;02 Aragón;44 Teruel;1 persona;2020;15.048
Total Nacional;02 Aragón;44 Teruel;2 personas;2023;16.858
Total Nacional;02 Aragón;44 Teruel;2 personas;2022;16.817
Total Nacional;02 Aragón;44 Teruel;2 personas;2021;16.767
Total Nacional;02 Aragón;44 Teruel;2 personas;2020;16.739
Total Nacional;02 Aragón;44 Teruel;3 personas;2023;10.300
Total Nacional;02 Aragón;44 Teruel;3 personas;2022;10.365
Total Nacional;02 Aragón;44 Teruel;3 personas;2021;10.433
Total Nacional;02 Aragón;44 Teruel;3 personas;2020;10.505
Total Nacional;02 Aragón;44 Teruel;4 personas;2023;8.897
Total Nacional;02 Aragón;44 Teruel;4 personas;2022;9.081
Total Nacional;02 Aragón;44 Teruel;4 personas;2021;9.277
Total Nacional;02 Aragón;44 Teruel;4 personas;2020;9.482
Total Nacional;02 Aragón;44 Teruel;5 personas o más;2023;2.445
Total Nacional;02 Aragón;44 Teruel;5 personas o más;2022;2.466
Total Nacional;02 Aragón;44 Teruel;5 personas o más;2021;2.489
Total Nacional;02 Aragón;44 Teruel;5 personas o más;2020;2.514
Total Nacional;02 Aragón;44 Teruel;Tamaño medio;2023;2,37
Total Nacional;02 Aragón;44 Teruel;Tamaño medio;2022;2,38
Total Nacional;02 Aragón;44 Teruel;Tamaño medio;2021;2,39
Total Nacional;02 Aragón;44 Teruel;Tamaño medio;2020;2,41
Total Nacional;02 Aragón;50 Zaragoza;Total;2023;400.975
Total Nacional;02 Aragón;50 Zaragoza;Total;2022;400.030
Total Nacional;02 Aragón;50 Zaragoza;Total;2021;399.154
Total Nacional;02 Aragón;50 Zaragoza;Total;2020;398.588
Total Nacional;02 Aragón;50 Zaragoza;1 persona;2023;113.697
Total Nacional;02 Aragón;50 Zaragoza;1 persona;2022;112.528
Total Nacional;02 Aragón;50 Zaragoza;1 persona;2021;111.412
Total Nacional;02 Aragón;50 Zaragoza;1 persona;2020;110.372
Total Nacional;02 Aragón;50 Zaragoza;2 personas;2023;127.767
Total Nacional;02 Aragón;50 Zaragoza;2 personas;2022;126.974
Total Nacional;02 Aragón;50 Zaragoza;2 personas;2021;126.228
Total Nacional;02 Aragón;50 Zaragoza;2 personas;2020;125.673
Total Nacional;02 Aragón;50 Zaragoza;3 personas;2023;78.775
Total Nacional;02 Aragón;50 Zaragoza;3 personas;2022;79.326
Total Nacional;02 Aragón;50 Zaragoza;3 personas;2021;79.870
Total Nacional;02 Aragón;50 Zaragoza;3 personas;2020;80.470
Total Nacional;02 Aragón;50 Zaragoza;4 personas;2023;62.779
Total Nacional;02 Aragón;50 Zaragoza;4 personas;2022;63.360
Total Nacional;02 Aragón;50 Zaragoza;4 personas;2021;63.921
Total Nacional;02 Aragón;50 Zaragoza;4 personas;2020;64.476
Total Nacional;02 Aragón;50 Zaragoza;5 personas o más;2023;17.957
Total Nacional;02 Aragón;50 Zaragoza;5 personas o más;2022;17.842
Total Nacional;02 Aragón;50 Zaragoza;5 personas o más;2021;17.723
Total Nacional;02 Aragón;50 Zaragoza;5 personas o más;2020;17.597
Total Nacional;02 Aragón;50 Zaragoza;Tamaño medio;2023;2,39
Total Nacional;02 Aragón;50 Zaragoza;Tamaño medio;2022;2,40
Total Nacional;02 Aragón;50 Zaragoza;Tamaño medio;2021;2,40
Total Nacional;02 Aragón;50 Zaragoza;Tamaño medio;2020;2,41
Total Nacional;03 Asturias, Principado de;;Total;2023;451.604
Total Nacional;03 Asturias, Principado de;;Total;2022;452.681
Total Nacional;03 Asturias, Principado de;;Total;2021;453.725
Total Nacional;03 Asturias, Principado de;;Total;2020;454.937
Total Nacional;03 Asturias, Principado de;;1 persona;2023;143.660
Total Nacional;03 Asturias, Principado de;;1 persona;2022;142.358
Total Nacional;03 Asturias, Principado de;;1 persona;2021;141.015
Total Nacional;03 Asturias, Principado de;;1 persona;2020;139.689
Total Nacional;03 Asturias, Principado de;;2 personas;2023;154.802
Total Nacional;03 Asturias, Principado de;;2 personas;2022;154.642
Total Nacional;03 Asturias, Principado de;;2 personas;2021;154.459
Total Nacional;03 Asturias, Principado de;;2 personas;2020;154.331
Total Nacional;03 Asturias, Principado de;;3 personas;2023;93.111
Total Nacional;03 Asturias, Principado de;;3 personas;2022;94.532
Total Nacional;03 Asturias, Principado de;;3 personas;2021;95.964
Total Nacional;03 Asturias, Principado de;;3 personas;2020;97.462
Total Nacional;03 Asturias, Principado de;;4 personas;2023;49.144
Total Nacional;03 Asturias, Principado de;;4 personas;2022;49.968
Total Nacional;03 Asturias, Principado de;;4 personas;2021;50.801
Total Nacional;03 Asturias, Principado de;;4 personas;2020;51.656
Total Nacional;03 Asturias, Principado de;;5 personas o más;2023;10.887
Total Nacional;03 Asturias, Principado de;;5 personas o más;2022;11.181
Total Nacional;03 Asturias, Principado de;;5 personas o más;2021;11.486
Total Nacional;03 Asturias, Principado de;;5 personas o más;2020;11.799
Total Nacional;03 Asturias, Principado de;;Tamaño medio;2023;2,18
Total Nacional;03 Asturias, Principado de;;Tamaño medio;2022;2,19
Total Nacional;03 Asturias, Principado de;;Tamaño medio;2021;2,20
Total Nacional;03 Asturias, Principado de;;Tamaño medio;2020;2,21
Total Nacional;04 Balears, Illes;;Total;2023;467.674
