Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Alicante/Alacant;Total;Total;Un único tipo de dispositivo: Energía solar térmica;16.834
Alicante/Alacant;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;11.893
Alicante/Alacant;Total;Total;Combinación de varios tipos de dispositivos;2.197
Alicante/Alacant;Total;Total;No dispone de dispositivo de energía renovable;735.245
Alicante/Alacant;Total;Total;Total;766.168
Alicante/Alacant;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;9.464
Alicante/Alacant;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;6.147
Alicante/Alacant;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;1.506
Alicante/Alacant;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;353.546
Alicante/Alacant;Total;De 50.000 habitantes o menos;Total;370.663
Alicante/Alacant;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;7.370
Alicante/Alacant;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;5.746
Alicante/Alacant;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;690
Alicante/Alacant;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;381.699
Alicante/Alacant;Total;Más de 50.000 habitantes;Total;395.505
Alicante/Alacant;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;1.083
Alicante/Alacant;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.190
Alicante/Alacant;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;205.592
Alicante/Alacant;Menos de 1.000 euros;Total;Total;209.866
Alicante/Alacant;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;.
Alicante/Alacant;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;830
Alicante/Alacant;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;97.153
Alicante/Alacant;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;97.983
Alicante/Alacant;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;1.083
Alicante/Alacant;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;2.360
Alicante/Alacant;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Alicante/Alacant;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;108.439
Alicante/Alacant;Menos de 1.000 euros;Más de 50.000 habitantes;Total;111.883
Alicante/Alacant;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;2.791
