Provincias;Ingresos netos;Dispone de dispositivo de energía renovable;Total
Navarra;De 1.000 euros a menos de 1.500 euros;No;50430
Navarra;De 1.000 euros a menos de 1.500 euros;Si;3015
Navarra;De 1.500 euros a menos de 2.000 euros;No;45941
Navarra;De 1.500 euros a menos de 2.000 euros;Si;2233
Navarra;De 2.000 euros a menos de 3.000 euros;No;63016
Navarra;De 2.000 euros a menos de 3.000 euros;Si;5658
Navarra;Menos de 1.000 euros;No;34032
Navarra;Menos de 1.000 euros;Si;1615
Ourense;3.000 euros o más;No;12471
Ourense;3.000 euros o más;Si;799
Ourense;De 1.000 euros a menos de 1.500 euros;No;29191
Ourense;De 1.000 euros a menos de 1.500 euros;Si;1157
Ourense;De 1.500 euros a menos de 2.000 euros;No;20856
Ourense;De 1.500 euros a menos de 2.000 euros;Si;463
Ourense;De 2.000 euros a menos de 3.000 euros;No;27274
Ourense;De 2.000 euros a menos de 3.000 euros;Si;967
Ourense;Menos de 1.000 euros;No;39127
Ourense;Menos de 1.000 euros;Si;416
Palencia;3.000 euros o más;No;5825
Palencia;3.000 euros o más;Si;469
Palencia;De 1.000 euros a menos de 1.500 euros;No;16349
Palencia;De 1.000 euros a menos de 1.500 euros;Si;707
Palencia;De 1.500 euros a menos de 2.000 euros;No;10951
Palencia;De 1.500 euros a menos de 2.000 euros;Si;455
Palencia;De 2.000 euros a menos de 3.000 euros;No;12143
Palencia;De 2.000 euros a menos de 3.000 euros;Si;953
Palencia;Menos de 1.000 euros;No;18121
Palencia;Menos de 1.000 euros;Si;512
Pontevedra;3.000 euros o más;No;44416
Pontevedra;3.000 euros o más;Si;2316
Pontevedra;De 1.000 euros a menos de 1.500 euros;No;86847
Pontevedra;De 1.000 euros a menos de 1.500 euros;Si;2797
Pontevedra;De 1.500 euros a menos de 2.000 euros;No;61006
Pontevedra;De 1.500 euros a menos de 2.000 euros;Si;2285
Pontevedra;De 2.000 euros a menos de 3.000 euros;No;76827
Pontevedra;De 2.000 euros a menos de 3.000 euros;Si;3777
Pontevedra;Menos de 1.000 euros;No;89899
Pontevedra;Menos de 1.000 euros;Si;2320
Rioja, La;3.000 euros o más;No;17575
Rioja, La;3.000 euros o más;Si;849
Rioja, La;De 1.000 euros a menos de 1.500 euros;No;30789
Rioja, La;De 1.000 euros a menos de 1.500 euros;Si;1215
Rioja, La;De 1.500 euros a menos de 2.000 euros;No;23011
Rioja, La;De 1.500 euros a menos de 2.000 euros;Si;1225
Rioja, La;De 2.000 euros a menos de 3.000 euros;No;26401
Rioja, La;De 2.000 euros a menos de 3.000 euros;Si;1488
Rioja, La;Menos de 1.000 euros;No;27690
Rioja, La;Menos de 1.000 euros;Si;1024
Salamanca;3.000 euros o más;No;13938
Salamanca;3.000 euros o más;Si;784
Salamanca;De 1.000 euros a menos de 1.500 euros;No;35127
Salamanca;De 1.000 euros a menos de 1.500 euros;Si;1304
Salamanca;De 1.500 euros a menos de 2.000 euros;No;21140
Salamanca;De 1.500 euros a menos de 2.000 euros;Si;1420
Salamanca;De 2.000 euros a menos de 3.000 euros;No;22277
Salamanca;De 2.000 euros a menos de 3.000 euros;Si;1540
Salamanca;Menos de 1.000 euros;No;43323
Salamanca;Menos de 1.000 euros;Si;673
Segovia;3.000 euros o más;No;6427
Segovia;3.000 euros o más;Si;521
Segovia;De 1.000 euros a menos de 1.500 euros;No;15723
Segovia;De 1.000 euros a menos de 1.500 euros;Si;548
Segovia;De 1.500 euros a menos de 2.000 euros;No;11417
Segovia;De 1.500 euros a menos de 2.000 euros;Si;410
Segovia;De 2.000 euros a menos de 3.000 euros;No;12142
Segovia;De 2.000 euros a menos de 3.000 euros;Si;1062
Segovia;Menos de 1.000 euros;No;14516
Segovia;Menos de 1.000 euros;Si;265
Sevilla;3.000 euros o más;No;73044
Sevilla;3.000 euros o más;Si;18184
Sevilla;De 1.000 euros a menos de 1.500 euros;No;160006
Sevilla;De 1.000 euros a menos de 1.500 euros;Si;19385
Sevilla;De 1.500 euros a menos de 2.000 euros;No;104749
Sevilla;De 1.500 euros a menos de 2.000 euros;Si;13296
Sevilla;De 2.000 euros a menos de 3.000 euros;No;125492
Sevilla;De 2.000 euros a menos de 3.000 euros;Si;22168
Sevilla;Menos de 1.000 euros;No;187783
Sevilla;Menos de 1.000 euros;Si;18292
Soria;3.000 euros o más;No;3828
Soria;3.000 euros o más;Si;549
Soria;De 1.000 euros a menos de 1.500 euros;No;8475
Soria;De 1.000 euros a menos de 1.500 euros;Si;822
Soria;De 1.500 euros a menos de 2.000 euros;No;6309
Soria;De 1.500 euros a menos de 2.000 euros;Si;607
Soria;De 2.000 euros a menos de 3.000 euros;No;6826
Soria;De 2.000 euros a menos de 3.000 euros;Si;1247
