"A�o";"Mes";"Castilla-La Mancha";"Espa�a";"Albacete";"Ciudad Real";"Cuenca";"Guadalajara";"Toledo"
"2014";" Septiembre";223229.512;"-";36669.721;57906.119;17966.261;30467.09;80220.321
"2014";" Octubre";201023.654;"-";38195.224;41025.268;15554.451;25448.873;80799.838
"2014";" Noviembre";205889.951;"-";32924.64;56919.601;14108.443;27772.85;74164.417
"2014";" Diciembre";213855.249;"-";45286.728;46198.96;15023.261;26066.747;81279.553
"2015";"Total";2860565.244;"-";510449.35;702110.3210000001;217917.3460000001;364504.57;1065583.657
"2015";" Enero";334196.918;"-";59363.628;90083.457;25334.829;40491.678;118923.326
"2015";" Febrero";306488.532;"-";53148.374;69148.245;22753.287;37087.263;124351.363
"2015";" Marzo";315176.011;"-";60744.122;78727.875;23642.461;36491.564;115569.989
"2015";" Abril";236683.494;"-";40397.411;58716.068;19545.606;30516.876;87507.533
"2015";" Mayo";222547.968;"-";39975.604;55993.106;17435.255;27807.456;81336.54700000001
"2015";" Junio";179977.625;"-";33057.898;39293.991;14563.428;24377.958;68684.35000000001
"2015";" Julio";224167.29;"-";42839.951;54004.2;15656.585;28525.413;83141.141
"2015";" Agosto";219022.438;"-";34974.546;56977.232;16786.804;28905.686;81378.17
"2015";" Septiembre";216442.895;"-";38652.222;54200.566;16299.871;28270.252;79019.984
"2015";" Octubre";184993.526;"-";32557.76;41247.109;15116.409;25480.623;70591.625
"2015";" Noviembre";189325.054;"-";27366.85;48743.446;14305.722;25174.186;73734.85000000001
"2015";" Diciembre";231543.493;"-";47370.984;54975.026;16477.089;31375.615;81344.779
"2016";"Total";2894250.393;"-";509172.021;701102.916;211652.439;364267.774;1108055.243
"2016";" Enero";299559.598;"-";53840.913;75248.837;22330.875;35039.86;113099.113
"2016";" Febrero";285390.488;"-";50383.766;67226.637;19731.344;34470.484;113578.257
"2016";" Marzo";292162.434;"-";50892.766;71119.637;19279.344;33553.484;117317.203
"2016";" Abril";254495.474;"-";46448.396;63304.46;19263.892;32192.68;93286.046
"2016";" Mayo";233373.075;"-";40580.508;56755.778;18407.82;29604.112;88024.857
"2016";" Junio";191850.274;"-";34267.176;43915.03;13928.772;25497.355;74241.94100000001
"2016";" Julio";204673.286;"-";36144.986;50612.93;15626.535;27071.008;75217.82700000001
"2016";" Agosto";229722.635;"-";38141.137;55905.133;16646.929;29437.752;89591.68400000001
"2016";" Septiembre";239176.635;"-";38508.137;58868.133;16902.929;30144.752;94752.68400000001
"2016";" Octubre";190527.294;"-";34054.119;44661.151;13903.121;25753.381;72155.522
"2016";" Noviembre";215469.873;"-";37944.753;52101.042;15944.988;28151.99;81327.10000000001
"2016";" Diciembre";257849.327;"-";47965.364;61384.148;19685.89;33350.916;95463.00900000001
"2017";"Total";2826360.23;"-";497531.889;695628.1819999999;211286.487;351610.036;1070303.636
"2017";" Enero";308372.498;"-";52598.937;80996.928;23087.827;35456.818;116231.988
"2017";" Febrero";299554.549;"-";54391.92;76254.48700000001;19088.135;33238.134;116581.873
"2017";" Marzo";278060.629;"-";52218.028;64347.757;22062.318;33108.696;106323.83
"2017";" Abril";213733.921;"-";33152.01;59654.151;17131.326;25085.498;78710.936
"2017";" Mayo";216970.762;"-";41584.58;49717.833;16764.595;30381.16;78522.594
"2017";" Junio";199562.049;"-";34352.306;45936.164;14313.365;25741.553;79218.66100000001
"2017";" Julio";204599.875;"-";35624.504;50673.316;14053.194;26473.174;77775.68700000001
"2017";" Agosto";238358.128;"-";39532.855;58639.982;17221.101;30294.567;92669.62300000001
"2017";" Septiembre";219290.689;"-";37776.591;53292.612;17853.297;28912.284;81455.905
"2017";" Octubre";181746.902;"-";31826.216;44230.173;13925.259;23986.27;67778.984
"2017";" Noviembre";220036.437;"-";38394.609;53781.799;16385.803;29193.734;82280.492
"2017";" Diciembre";246073.791;"-";46079.333;58102.98;19400.267;29738.148;92753.06300000001
"2018";"Total";2850563.322;"-";506629.0729999999;640667.04;220091.017;369516.44;1113659.752
"2018";" Enero";331782.067;"-";58095.445;83309.655;23252.674;39812.701;127311.592
"2018";" Febrero";225792.875;"-";50750.874;5307.327;22549.076;34754.968;112430.63
"2018";" Marzo";269019.905;"-";50249.992;63507.438;19855.058;32245.927;103161.49
"2018";" Abril";287039.887;"-";47839.139;72982.613;22214.302;34690.64;109313.193
"2018";" Mayo";210420.706;"-";37147.488;51401.681;16784.924;27527.601;77559.012
"2018";" Junio";183175.641;"-";33602.111;42238.979;14672.782;24420.77;68240.999
